Strategy,Params,Hold,Trades,PnL,WinRate%,ProfitFactor,AvgRet%,MaxDD%,Sharpe,CAGR%
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",3,19,123805.65,52.6,2.53,26.23,-25.06,4.91,75.46
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",5,14,-18703.15,35.7,0.81,-5.32,-59.04,-1.29,-13.43
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",7,12,15204.59,50.0,1.15,5.09,-65.06,0.7,10.42
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 25, 'use_adx': True}",10,12,-9698.48,41.7,0.92,-3.2,-75.02,-0.43,-6.77
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",1,20,8432.1,45.0,1.11,1.69,-26.61,0.54,5.82
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",2,16,-30716.15,43.8,0.72,-7.57,-61.99,-2.19,-22.63
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",3,13,-65627.93,23.1,0.37,-20.27,-68.19,-6.97,-52.68
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",5,10,5978.37,60.0,1.09,2.42,-42.54,0.55,4.18
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",7,9,-48848.77,44.4,0.55,-21.81,-59.55,-4.19,-37.25
trend_sma,"{'fast': 10, 'slow': 50, 'adx_thresh': 30, 'use_adx': True}",10,8,25328.49,37.5,1.26,12.74,-36.32,1.36,16.65
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 0, 'use_adx': False}",1,71,-55512.19,39.4,0.81,-3.18,-124.89,-1.31,-45.17
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 0, 'use_adx': False}",2,57,-58825.13,36.8,0.8,-4.18,-85.16,-1.41,-48.23
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 0, 'use_adx': False}",3,47,-47683.12,19.1,0.87,-4.08,-89.46,-0.74,-38.16
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 0, 'use_adx': False}",5,36,26109.53,38.9,1.1,2.9,-46.82,0.51,18.78
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 0, 'use_adx': False}",7,29,-39260.72,31.0,0.86,-5.49,-135.21,-0.84,-30.92
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 0, 'use_adx': False}",10,24,-223344.82,20.8,0.36,-37.42,-250.2,-6.18,0.0
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 20, 'use_adx': True}",1,34,28397.76,47.1,1.22,3.3,-75.13,1.16,23.34
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 20, 'use_adx': True}",2,27,43137.1,33.3,1.3,6.48,-60.28,1.44,34.74
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 20, 'use_adx': True}",3,24,597.77,37.5,1.0,0.09,-51.62,0.0,0.49
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 20, 'use_adx': True}",5,19,70884.5,42.1,1.54,14.96,-51.97,2.17,56.61
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 20, 'use_adx': True}",7,15,5963.77,20.0,1.04,1.6,-93.93,0.18,4.92
trend_sma,"{'fast': 10, 'slow': 100, 'adx_thresh': 20, 'use_adx': True}",10,13,-46345.91,15.4,0.75,-14.3,-134.61,-1.35,-40.13
